No,Category,Topic,Explanation,Formula_or_Example
27,Classification,Random Forest,Combines many decision trees and aggregates their predictions.,An ensemble method; usually generalizes better than a single tree
28,Classification,Support Vector Machine (SVM),Finds a decision boundary that maximizes the margin between classes.,"Kernels include linear, polynomial and RBF"
29,Classification,Naive Bayes,Uses Bayes' theorem and assumes conditional independence between features.,Common in spam and text classification
30,Unsupervised Learning,Unsupervised Learning,Finds hidden patterns in data without a target variable.,Main techniques: clustering and dimensionality reduction
31,Clustering,K-Means,Divides observations into K clusters by repeatedly assigning points to the nearest centroid and updating centroids.,
32,Clustering,Elbow Method,Helps select K in K-Means by examining within-cluster sum of squares and finding the point where improvement slows.,
33,Clustering,Hierarchical Clustering,Creates a tree-like hierarchy of clusters called a dendrogram.,Approaches: agglomerative and divisive
34,Clustering,DBSCAN,Density-based clustering that can find irregular clusters and identify noise/outliers.,Does not require the number of clusters beforehand
35,Dimensionality Reduction,Dimensionality Reduction,Reduces the number of features while trying to retain important information.,"Benefits: lower complexity, faster computation and visualization"
36,Dimensionality Reduction,PCA,Principal Component Analysis transforms original features into principal components that capture maximum variance in sequence.,Useful for feature reduction and visualization
37,Evaluation,MAE,Mean Absolute Error measures average absolute prediction error.,MAE = (1/n)Σ|yi-ŷi|; lower is better
38,Evaluation,MSE,Mean Squared Error measures average squared prediction error and penalizes large errors more strongly.,MSE = (1/n)Σ(yi-ŷi)²
39,Evaluation,RMSE,Root Mean Squared Error is the square root of MSE and is in the same unit as the target.,RMSE = √MSE
40,Evaluation,R² Score,Measures the proportion of target variance explained by the model.,R² = 1 - SSres/SStot; generally higher is better
41,Evaluation,Confusion Matrix,"Summarizes classification predictions using TP, TN, FP and FN.",
42,Evaluation,Accuracy,Measures the proportion of all predictions that are correct.,Accuracy = (TP+TN)/(TP+TN+FP+FN)
43,Evaluation,Precision,Measures how many predicted positives are actually positive.,Precision = TP/(TP+FP)
44,Evaluation,Recall,Measures how many actual positives were correctly identified.,Recall = TP/(TP+FN)
45,Evaluation,F1 Score,Harmonic mean of precision and recall.,F1 = 2×(Precision×Recall)/(Precision+Recall)
46,Evaluation,ROC-AUC,ROC compares true positive rate with false positive rate; AUC summarizes discrimination ability.,Higher AUC generally indicates better class separation
47,Model Performance,Overfitting,"The model learns training data too closely, including noise, and performs poorly on unseen data.","Solutions: more data, regularization, cross-validation, simpler model, feature selection"
48,Model Performance,Underfitting,The model is too simple to capture important patterns.,"Solutions: increase model complexity, add useful features, reduce excessive regularization"
49,Model Performance,Bias-Variance Tradeoff,High bias is associated with underfitting; high variance is associated with overfitting. The goal is a good balance.,
50,Model Selection,Cross-Validation,"Evaluates a model using multiple train-validation splits. In K-Fold CV, each fold becomes the validation set once.",
51,Model Selection,Hyperparameters,Settings chosen before training that control model behaviour.,"Examples: n_estimators, max_depth, n_neighbors"
52,Model Selection,GridSearchCV,Systematically tests specified combinations of hyperparameters.,
53,Model Selection,RandomizedSearchCV,Randomly samples hyperparameter combinations from specified distributions.,
54,Ensemble Learning,Bagging,Trains models independently and combines their predictions.,Example: Random Forest
55,Ensemble Learning,Boosting,"Builds models sequentially, with later models focusing on previous errors.","Examples: AdaBoost, Gradient Boosting, XGBoost"
56,Ensemble Learning,Gradient Boosting,Sequentially builds models where each new model attempts to improve previous errors.,"Implementations include Gradient Boosting, XGBoost, LightGBM and CatBoost"
57,Feature Engineering,Feature Engineering,Creates or transforms variables to improve model performance.,"Example: extract year, month and day from a date"
58,Feature Engineering,Feature Selection,Identifies the most useful features.,"Methods: correlation, SelectKBest, RFE, Lasso and tree-based importance"
59,Time Series,Time Series Machine Learning,Works with data collected over time.,"Examples: stock prices, sales, revenue, temperature and exchange rates"
60,Time Series,Time Series Components,"Important components include trend, seasonality, cyclicality and noise.",
61,Time Series,Stationarity,"A stationary series has relatively stable statistical properties such as mean, variance and autocorrelation over time.",ADF test is commonly used
62,Time Series,ADF Test,Augmented Dickey-Fuller test for stationarity. A small p-value provides evidence against the unit-root null hypothesis.,Common rule: p-value < 0.05 → reject null → evidence of stationarity
63,Time Series,Autocorrelation,Measures the relationship between a time series and its lagged values.,
64,Time Series,ACF,Autocorrelation Function shows correlation at different lags.,Useful for time-series model identification
65,Time Series,PACF,Partial Autocorrelation Function shows correlation at a lag after accounting for intermediate lags.,Useful for identifying AR terms
66,Time Series,AR Model,AutoRegressive model predicts the current value using previous values.,AR(p): Yt = c + φ1Yt-1 + ... + φpYt-p + εt
67,Time Series,MA Model,Moving Average time-series model uses previous forecast errors to model the current value.,MA(q): Yt = c + εt + θ1εt-1 + ... + θqεt-q
68,Time Series,ARIMA,"AutoRegressive Integrated Moving Average combines AR, differencing and MA.","ARIMA(p,d,q): p=AR order, d=differencing, q=MA order"
69,Time Series,SARIMA,Seasonal ARIMA extends ARIMA to model seasonal patterns.,"SARIMA(p,d,q)(P,D,Q,s)"
70,Time Series,SARIMAX,Extends SARIMA by adding exogenous or external variables.,Example: forecasting stock price using interest rates or market index
71,Python Libraries,Statsmodels,"Python library focused on statistical modelling, statistical tests and time-series analysis.","Useful for OLS, AR, MA, ARIMA, SARIMA, SARIMAX, ACF and PACF"
72,Python Libraries,Scikit-learn,"Major Python library for machine learning, preprocessing, model selection, metrics, classification, regression and clustering.",
73,Python Libraries,NumPy,Library for numerical computing and arrays.,
74,Python Libraries,Pandas,Library for data manipulation and analysis using Series and DataFrame.,
75,Python Libraries,Matplotlib and Seaborn,Libraries for data visualization and statistical plots.,
76,Core Concepts,Independent Variable,"Input feature used to make predictions, usually represented by X.","Example: area, bedrooms and location"
77,Core Concepts,Dependent Variable,"Target/output being predicted, usually represented by y.",Example: house price
78,Core Concepts,Parametric vs Non-Parametric,Parametric models assume a specific functional form; non-parametric models make fewer assumptions.,Examples: Linear Regression vs KNN/Decision Trees
79,Core Concepts,Model Training,The process where a model learns relationships between features and target from training data.,"Python: model.fit(X_train, y_train)"
80,Core Concepts,Prediction,Uses the trained model to generate predictions for unseen data.,Python: y_pred = model.predict(X_test)
81,Core Concepts,Model Evaluation,Compares actual and predicted values using suitable metrics.,"Regression: MAE, MSE, RMSE, R²; Classification: accuracy, precision, recall, F1, ROC-AUC"
82,Project Example,Loan Approval Prediction Workflow,Dataset → cleaning → missing values → encoding → scaling → train-test split → Logistic Regression → prediction → confusion matrix → metrics → tuning → final model.,
83,Quick Reference,Regression Algorithms,"Linear Regression, Multiple Linear Regression, Polynomial Regression, Ridge, Lasso and Elastic Net.",
84,Quick Reference,Classification Algorithms,"Logistic Regression, KNN, Decision Tree, Random Forest, SVM and Naive Bayes.",
85,Quick Reference,Unsupervised Algorithms,"K-Means, Hierarchical Clustering, DBSCAN and PCA.",
86,Quick Reference,Time-Series Algorithms,"AR, MA, ARIMA, SARIMA and SARIMAX.",
87,Quick Reference,AR vs MA,AR uses past values; MA uses past forecast errors.,
88,Quick Reference,ARIMA vs SARIMA,ARIMA models non-seasonal patterns; SARIMA adds seasonal components.,
89,Quick Reference,SARIMA vs SARIMAX,SARIMA handles seasonality; SARIMAX additionally uses external/exogenous variables.,
90,Interview,Important Interview Topics,"Know ML types, supervised vs unsupervised, regression vs classification, overfitting, underfitting, bias-variance, cross-validation, feature engineering, scaling, regularization, ensemble methods, evaluation metrics, ARIMA family, ACF, PACF and stationarity.",
